"Portfolio","avg_beta","avg_beta_se","avg_r_squared","avg_return_sd","avg_residual_sd","residual_ratio","mean_residual_sd"
1,-0.313959061134545,0.432624544188396,0.079277226878609,0.0755164874046239,0.0710744065669496,0.738239816743327,0.00471309890977629
2,0.0567223482003369,0.10602000429143,0.0963291119643229,0.0276975788507069,0.0272251583253425,0.282783872053531,0.0187536950002298
3,0.224715675608624,0.172665262579078,0.143162518669608,0.0592027886311158,0.0564414287866825,0.58624914447879,0.0285178757426363
4,0.348665282009821,0.198998980406572,0.17272045607205,0.0747373606697338,0.0700959862091843,0.728077102758029,0.0351709232215101
5,0.463873103673965,0.219480858722977,0.238086622391805,0.0833707383879892,0.0759004262827631,0.788367001516171,0.0438848920625988
6,0.561884107481351,0.207969571330283,0.295852930052356,0.0894297601252364,0.0790093111332095,0.820658549108732,0.0513232182425826
7,0.642190375956036,0.185187028878613,0.383446957613107,0.0827039786449726,0.0681373058634307,0.707732566808287,0.0564517167334567
8,0.710599140429326,0.172278895962273,0.397936933342881,0.0876852680535308,0.0712013587071045,0.739558450682181,0.0617222868928459
9,0.775763379973666,0.230770096417001,0.384479639710705,0.0977324154277847,0.0803376509689129,0.834455827260591,0.0670346587973705
10,0.845507866615974,0.216173052458051,0.418905899001659,0.101460833836741,0.0810798262324745,0.842164696838659,0.0728801202105635
11,0.923519660527412,0.24046084105434,0.400881032465685,0.115301601828723,0.0938298649591728,0.974597547251581,0.0792638547025578
12,0.998964232638412,0.218823414792765,0.44401077243009,0.110719414069757,0.0856557320358483,0.889693983749205,0.087178665206827
13,1.07712310883728,0.232447859222204,0.454017277388197,0.112871789684369,0.0857200470599016,0.890362014815018,0.0958210963744663
14,1.16029659859365,0.223290129421024,0.454307653870959,0.122456434286878,0.0931894610028994,0.967945761859949,0.10604841667671
15,1.26493317252854,0.329201893547914,0.423107851455765,0.138625491455638,0.108368304980313,1.12560626917219,0.117913074601335
16,1.39081268401731,0.321981165463227,0.42184621756138,0.151704310696872,0.118733289884057,1.23326590258298,0.133729914682897
17,1.55269860766519,0.350059725552734,0.439148768691601,0.161941799140498,0.124190866146551,1.28995297595433,0.152890456886474
18,1.75769938000883,0.392872404632504,0.45742553587127,0.175386924410907,0.131897698067412,1.37000274998331,0.176422698837346
19,2.08465983585529,0.549731317500551,0.414451832563155,0.215832684094689,0.167776018537486,1.74266579436535,0.209629553811979
20,3.16947631274357,0.959561018455259,0.437967697038174,0.30429064754704,0.235645833599168,2.44761997201779,0.327581631071264
NA,NA,NA,0,NA,NA,NA,NA
